league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,franchise_name,user_name,franchise_name_opponent,user_name_opponent
L2 Sack Based Floor,2,5,208.12,7,224.53,L,16.409999999999997, I am tilting,arthurdantas,Sorry to the kids,FoolofaTook13
L2 Sack Based Floor,2,6,174.05,10,169.28,W,4.77000000000001,Leg Wrestling Champ,RawlsTofJ,Not Great Bob,tommcg17
L2 Sack Based Floor,2,7,224.53,5,208.12,W,16.409999999999997,Sorry to the kids,FoolofaTook13, I am tilting,arthurdantas
L2 Sack Based Floor,2,8,183.08,9,206.88,L,23.799999999999983,The Process,stephensear,jbieligk,jbieligk
L2 Sack Based Floor,2,9,206.88,8,183.08,W,23.799999999999983,jbieligk,jbieligk,The Process,stephensear
L2 Sack Based Floor,2,10,169.28,6,174.05,L,4.77000000000001,Not Great Bob,tommcg17,Leg Wrestling Champ,RawlsTofJ
L2 Sack Based Floor,3,1,140.18,7,234.42,L,94.23999999999998,kfisch55,kfisch55,Sorry to the kids,FoolofaTook13
L2 Sack Based Floor,3,2,252.29,9,175.88,W,76.41,LamArby’s,apulianas,jbieligk,jbieligk
L2 Sack Based Floor,3,3,236.94,6,238.75,L,1.8100000000000023,WhatKindOfNameIsDenny?,jimmy2thumbs,Leg Wrestling Champ,RawlsTofJ
L2 Sack Based Floor,3,4,174.09,8,135.35,W,38.74000000000001,The Poop Monsters,karmannkc,The Process,stephensear
L2 Sack Based Floor,3,5,162.26,10,191.83,L,29.57000000000002, I am tilting,arthurdantas,Not Great Bob,tommcg17
L2 Sack Based Floor,3,6,238.75,3,236.94,W,1.8100000000000023,Leg Wrestling Champ,RawlsTofJ,WhatKindOfNameIsDenny?,jimmy2thumbs
L2 Sack Based Floor,3,7,234.42,1,140.18,W,94.23999999999998,Sorry to the kids,FoolofaTook13,kfisch55,kfisch55
L2 Sack Based Floor,3,8,135.35,4,174.09,L,38.74000000000001,The Process,stephensear,The Poop Monsters,karmannkc
L2 Sack Based Floor,3,9,175.88,2,252.29,L,76.41,jbieligk,jbieligk,LamArby’s,apulianas
L2 Sack Based Floor,3,10,191.83,5,162.26,W,29.57000000000002,Not Great Bob,tommcg17, I am tilting,arthurdantas
L2 Sack Based Floor,4,1,202.59,10,172.23,W,30.360000000000014,kfisch55,kfisch55,Not Great Bob,tommcg17
L2 Sack Based Floor,4,2,180.17,5,167.58,W,12.589999999999975,LamArby’s,apulianas, I am tilting,arthurdantas
L2 Sack Based Floor,4,3,224.76,8,193.46,W,31.299999999999983,WhatKindOfNameIsDenny?,jimmy2thumbs,The Process,stephensear
L2 Sack Based Floor,4,4,185.31,7,154.31,W,31,The Poop Monsters,karmannkc,Sorry to the kids,FoolofaTook13
L2 Sack Based Floor,4,5,167.58,2,180.17,L,12.589999999999975, I am tilting,arthurdantas,LamArby’s,apulianas
L2 Sack Based Floor,4,6,172.26,9,186.42,L,14.159999999999997,Leg Wrestling Champ,RawlsTofJ,jbieligk,jbieligk
L2 Sack Based Floor,4,7,154.31,4,185.31,L,31,Sorry to the kids,FoolofaTook13,The Poop Monsters,karmannkc
L2 Sack Based Floor,4,8,193.46,3,224.76,L,31.299999999999983,The Process,stephensear,WhatKindOfNameIsDenny?,jimmy2thumbs
L2 Sack Based Floor,4,9,186.42,6,172.26,W,14.159999999999997,jbieligk,jbieligk,Leg Wrestling Champ,RawlsTofJ
L2 Sack Based Floor,4,10,172.23,1,202.59,L,30.360000000000014,Not Great Bob,tommcg17,kfisch55,kfisch55
L2 Sack Based Floor,5,1,0,9,0,NA,0,kfisch55,kfisch55,jbieligk,jbieligk
L2 Sack Based Floor,5,2,0,3,0,NA,0,LamArby’s,apulianas,WhatKindOfNameIsDenny?,jimmy2thumbs
L2 Sack Based Floor,5,3,0,2,0,NA,0,WhatKindOfNameIsDenny?,jimmy2thumbs,LamArby’s,apulianas
L2 Sack Based Floor,5,4,0,10,0,NA,0,The Poop Monsters,karmannkc,Not Great Bob,tommcg17
L2 Sack Based Floor,5,5,0,8,0,NA,0, I am tilting,arthurdantas,The Process,stephensear
L2 Sack Based Floor,5,6,0,7,0,NA,0,Leg Wrestling Champ,RawlsTofJ,Sorry to the kids,FoolofaTook13
L2 Sack Based Floor,5,7,0,6,0,NA,0,Sorry to the kids,FoolofaTook13,Leg Wrestling Champ,RawlsTofJ
L2 Sack Based Floor,5,8,0,5,0,NA,0,The Process,stephensear, I am tilting,arthurdantas
L2 Sack Based Floor,5,9,0,1,0,NA,0,jbieligk,jbieligk,kfisch55,kfisch55
L2 Sack Based Floor,5,10,0,4,0,NA,0,Not Great Bob,tommcg17,The Poop Monsters,karmannkc
L3 The Only Legitimate LTS Bowl League,1,1,171.6,2,196.51,L,24.909999999999997,39ers,tripp39,The Enemy Speaks Kindly,Deredactyl
L3 The Only Legitimate LTS Bowl League,1,2,196.51,1,171.6,W,24.909999999999997,The Enemy Speaks Kindly,Deredactyl,39ers,tripp39
L3 The Only Legitimate LTS Bowl League,1,3,150.83,4,149.76,W,1.0700000000000216,Turd Ferguson,TurdFergusonFF,_casey88,_casey88
L3 The Only Legitimate LTS Bowl League,1,4,149.76,3,150.83,L,1.0700000000000216,_casey88,_casey88,Turd Ferguson,TurdFergusonFF
L3 The Only Legitimate LTS Bowl League,1,5,184.47,8,187.35,L,2.8799999999999955,The Woke FAAB,reginaldo,WilhelmTilt,ringular
L3 The Only Legitimate LTS Bowl League,1,6,111.03,10,156.94,L,45.91,Edina Cake Eaters,ecsirkin,johnnysmomskid,johnnysmomskid
L3 The Only Legitimate LTS Bowl League,1,7,138.47,9,210.89,L,72.41999999999999,Gods of War,DefLepFan4Ever,Never Owned ,alexewart
L3 The Only Legitimate LTS Bowl League,1,8,187.35,5,184.47,W,2.8799999999999955,WilhelmTilt,ringular,The Woke FAAB,reginaldo
L3 The Only Legitimate LTS Bowl League,1,9,210.89,7,138.47,W,72.41999999999999,Never Owned ,alexewart,Gods of War,DefLepFan4Ever
L3 The Only Legitimate LTS Bowl League,1,10,156.94,6,111.03,W,45.91,johnnysmomskid,johnnysmomskid,Edina Cake Eaters,ecsirkin
L3 The Only Legitimate LTS Bowl League,2,1,246.1,4,196.56,W,49.53999999999999,39ers,tripp39,_casey88,_casey88
L3 The Only Legitimate LTS Bowl League,2,2,218.82,8,209.6,W,9.219999999999999,The Enemy Speaks Kindly,Deredactyl,WilhelmTilt,ringular
L3 The Only Legitimate LTS Bowl League,2,3,212.15,5,230.49,L,18.340000000000003,Turd Ferguson,TurdFergusonFF,The Woke FAAB,reginaldo
L3 The Only Legitimate LTS Bowl League,2,4,196.56,1,246.1,L,49.53999999999999,_casey88,_casey88,39ers,tripp39
L3 The Only Legitimate LTS Bowl League,2,5,230.49,3,212.15,W,18.340000000000003,The Woke FAAB,reginaldo,Turd Ferguson,TurdFergusonFF
L3 The Only Legitimate LTS Bowl League,2,6,148.59,9,181.16,L,32.56999999999999,Edina Cake Eaters,ecsirkin,Never Owned ,alexewart
L3 The Only Legitimate LTS Bowl League,2,7,160.3,10,174.97,L,14.669999999999987,Gods of War,DefLepFan4Ever,johnnysmomskid,johnnysmomskid
L3 The Only Legitimate LTS Bowl League,2,8,209.6,2,218.82,L,9.219999999999999,WilhelmTilt,ringular,The Enemy Speaks Kindly,Deredactyl
L3 The Only Legitimate LTS Bowl League,2,9,181.16,6,148.59,W,32.56999999999999,Never Owned ,alexewart,Edina Cake Eaters,ecsirkin
L3 The Only Legitimate LTS Bowl League,2,10,174.97,7,160.3,W,14.669999999999987,johnnysmomskid,johnnysmomskid,Gods of War,DefLepFan4Ever
L3 The Only Legitimate LTS Bowl League,3,1,217.24,8,199.76,W,17.480000000000018,39ers,tripp39,WilhelmTilt,ringular
L3 The Only Legitimate LTS Bowl League,3,2,206.05,3,228.69,L,22.639999999999986,The Enemy Speaks Kindly,Deredactyl,Turd Ferguson,TurdFergusonFF
L3 The Only Legitimate LTS Bowl League,3,3,228.69,2,206.05,W,22.639999999999986,Turd Ferguson,TurdFergusonFF,The Enemy Speaks Kindly,Deredactyl
L3 The Only Legitimate LTS Bowl League,3,4,167.39,5,168.72,L,1.3300000000000125,_casey88,_casey88,The Woke FAAB,reginaldo
L3 The Only Legitimate LTS Bowl League,3,5,168.72,4,167.39,W,1.3300000000000125,The Woke FAAB,reginaldo,_casey88,_casey88
L3 The Only Legitimate LTS Bowl League,3,6,186.34,7,170.51,W,15.830000000000013,Edina Cake Eaters,ecsirkin,Gods of War,DefLepFan4Ever
L3 The Only Legitimate LTS Bowl League,3,7,170.51,6,186.34,L,15.830000000000013,Gods of War,DefLepFan4Ever,Edina Cake Eaters,ecsirkin
L3 The Only Legitimate LTS Bowl League,3,8,199.76,1,217.24,L,17.480000000000018,WilhelmTilt,ringular,39ers,tripp39
L3 The Only Legitimate LTS Bowl League,3,9,190.76,10,205.56,L,14.800000000000011,Never Owned ,alexewart,johnnysmomskid,johnnysmomskid
L3 The Only Legitimate LTS Bowl League,3,10,205.56,9,190.76,W,14.800000000000011,johnnysmomskid,johnnysmomskid,Never Owned ,alexewart
L3 The Only Legitimate LTS Bowl League,4,1,221.59,3,190.91,W,30.680000000000007,39ers,tripp39,Turd Ferguson,TurdFergusonFF
L3 The Only Legitimate LTS Bowl League,4,2,163.99,6,122.41,W,41.58000000000001,The Enemy Speaks Kindly,Deredactyl,Edina Cake Eaters,ecsirkin
L3 The Only Legitimate LTS Bowl League,4,3,190.91,1,221.59,L,30.680000000000007,Turd Ferguson,TurdFergusonFF,39ers,tripp39
L3 The Only Legitimate LTS Bowl League,4,4,185.81,10,205.22,L,19.409999999999997,_casey88,_casey88,johnnysmomskid,johnnysmomskid
L3 The Only Legitimate LTS Bowl League,4,5,185.93,7,174.18,W,11.75,The Woke FAAB,reginaldo,Gods of War,DefLepFan4Ever
L3 The Only Legitimate LTS Bowl League,4,6,122.41,2,163.99,L,41.58000000000001,Edina Cake Eaters,ecsirkin,The Enemy Speaks Kindly,Deredactyl
L3 The Only Legitimate LTS Bowl League,4,7,174.18,5,185.93,L,11.75,Gods of War,DefLepFan4Ever,The Woke FAAB,reginaldo
L3 The Only Legitimate LTS Bowl League,4,8,158.9,9,208.92,L,50.01999999999998,WilhelmTilt,ringular,Never Owned ,alexewart
L3 The Only Legitimate LTS Bowl League,4,9,208.92,8,158.9,W,50.01999999999998,Never Owned ,alexewart,WilhelmTilt,ringular
L3 The Only Legitimate LTS Bowl League,4,10,205.22,4,185.81,W,19.409999999999997,johnnysmomskid,johnnysmomskid,_casey88,_casey88
